Source,Target,weight
Sengkalawati,WulanDrema,2.0
Durna,Citrarata,2.0
Bagong,Gendara,1.0
Abiyasa,Gendari,2.0
Durga,Kamajaya,3.0
Bagong,Gendari,2.0
Bayu,Abiyasa,2.0
Surya,Wisnu,1.0
Guru,Petruk,7.0
Setyaki,Resi,1.0
Drupadi,Yamadipati,1.0
Angganjali,Yudhistira,1.0
Pragota,Salya,1.0
Durna,Nagatatmala,2.0
Petruk,Prasara,2.0
Durna,Brajamusthi,1.0
Durga,Sambuh,1.0
Puntadewa,Dhamdharat,5.0
Sugriwa,Kresna,1.0
Angganjali,Maheswara,1.0
Durga,Tambrapeta,1.0
Wibisana,RaraIreng,1.0
Bagong,Kangsa,1.0
Samba,Ramaparasu,1.0
Nagatatmala,Abiyasa,1.0
Sangkara,Yudhistira,1.0
Gareng,Togog,1.0
Durga,Arimbi,1.0
Petruk,Bhisma,1.0
Duryudana,Prasara,1.0
LesmanaMandrakumara,Ramaparasu,2.0
Bratajaya,Semar,2.0
Baladewa,Pracona,2.0
Bagong,Pulunggana,1.0
Ugrasena,Basudewa,6.0
Gareng,Bendana,3.0
Dewasrani,Wisanggeni,3.0
FakeWerkudara,Abiyasa,1.0
Angganjali,Ramayadi,2.0
Antakawulan,Baladewa,2.0
Rukmara,Abiyasa,1.0
Banowati,Bendana,1.0
Duryudana,Nagagini,2.0
Sambuh,Yudhistira,1.0
Antareja,Sadana,5.0
GagakBaka,Surabramadiraja,2.0
Raksasa,Parasara,2.0
Werkudara,WulanDremi,2.0
Citrarata,Duryudana,2.0
Bratajaya,Nagaprasanta,1.0
Bomanarakasura,Duryudana,1.0
Werkudara,WulanDrema,2.0
Panyarikan,Surya,1.0
Nagatatmala,Nagagini,3.0
FakeWerkudara,Narada,1.0
Ugrasena,Guru,1.0
Soka,Tambrapeta,3.0
Sengkalawati,Narada,1.0
Baladewa,Yudhistira,2.0
YudaKothi,Arjuna,2.0
Sadewa,WulanDremi,1.0
Bendana,Wilawuk,2.0
Sadewa,WulanDrema,1.0
Pujawati,Destarastra,1.0
Kuntiboja,Pandu,1.0
Bagong,Dhandhang,2.0
Bagus,Gatotkaca,1.0
Udawa,Nakula,2.0
Mangsahpati,KencanaWulan,1.0
Setyaki,Duryudana,3.0
Jembawati,Kresna,3.0
Gatotkaca,Abiyasa,3.0
Arjuna,Drupadi,1.0
Gareng,LesmanaMurdaka,1.0
Bagong,Brahma,2.0
Bismaka,Arjuna,3.0
Bayu,Drestarastra,1.0
Gareng,Gendari,2.0
YudaKalaKresna,Rukmara,1.0
Maerah,Erawati,1.0
Raksasa,Werkudara,1.0
Karna,Kuntiboja,2.0
Puntadewa,GagakBaka,1.0
Citrarata,Pradapa,2.0
Petruk,Pulunggana,1.0
Arjuna,Duryudana,15.0
Sengkalawati,Puntadewa,1.0
Baladewa,Antasena,2.0
Werkudara,Rama,1.0
Sengkuni,Pradapa,1.0
SitiSendari,Dhadhungawuk,1.0
YudaKothi,Bismaka,1.0
Arjuna,Rudra,1.0
Bismaka,Salya,2.0
Bagong,Ramayadi,1.0
Baladewa,Sekipu,2.0
DewaRuci,Werkudara,2.0
Dewaki,Ugrasena,2.0
LesmanaMandrakumara,Abimanyu,3.0
Sugriwa,Wenang,1.0
Pulungsari,Abimanyu,2.0
Nakula,RaraIreng,2.0
KudaKalaKresna,Anoman,2.0
Bayu,Bendana,1.0
Bagong,Bagus,2.0
Bisawarna,Kumbakarna,2.0
Werkudara,Wenang,6.0
Surya,Brahma,1.0
Pulungsari,Bendana,1.0
Bayu,Bhisma,1.0
LesmanaMandrakumara,Kresna,3.0
Bomanarakasura,Baladewa,3.0
Bagus,Indra,1.0
Panyarikan,Duryudana,1.0
Sadewa,Baladewa,7.0
Pancawala,Semar,1.0
Sadewa,Dhamdharat,3.0
Bagaspati,Yamawidura,1.0
Raksasa,Wenang,1.0
Antareja,Bendana,2.0
Semar,Sadana,5.0
Sadewa,Soka,2.0
Sri,Indra,1.0
Gorawangsa,Kresna,1.0
Guru,Gatotkaca,9.0
Indra,Padmanaba,1.0
Durna,Sadewa,15.0
Karna,Rama,1.0
Kurandhayaksa,Basudewa,1.0
Abiyasa,Brajamusthi,1.0
Sengkuni,Sri,2.0
Karna,Duryudana,19.0
Pancawala,Durga,1.0
Pracona,Yudhistira,1.0
Baladewa,Rohini,2.0
Sengkuni,Pujawati,1.0
Banowati,Soka,1.0
Bagong,Yamawidura,1.0
